"uniqueIndex","idea"
"lzmepwpvvzfix-HMNLUT-33","Children would love to have a toy that is a combination of a car and boat in order to help them learn how to operate two vehicles at once. This would help with drunk driving/boating. Since it is more illegal to get a DUI, it would be better to teach children at a young age how to pick up and drop off their legal guardians no matter the terrain. The toy can give the basics of acceleration and steering on different terrains and make sure that they can get home safely. The car can be a 4 door vehicle so they can learn how to open all the doors and let their guardian fall into the back seat. But also have James Bond function to convert to a boat at a flick of a switch. This can come with moveable steering wheels so no matter if they are American or wrong, they can move the steering wheel to any side of the car. The vehicle can come in red, white, blue, or all three mixed. Models passengers sold seperate but can be customer made to match their family."
"lzmepwpvvzfix-HMNLUT-33","In today's world, the price of groceries are going up and it is getting harder to shop. So with the car/boat all in one rideable vehicle, your kid can now drive to the ocean, river, or lake and contribute to the household. Now they can go fishing for food since their ungrateful self cant keep a job at the Shein factory. This rideable car/boat will have built in fishing rod holders, trolling motor, and top of the line batteries for max distance traveled. None of the right wing gas. All american electric that can be recharged once home. Upgrade options would be a sonar to find fish and solar panels incase you run out of battery."
"lzmepwpvvzfix-HMNLUT-33","Children this age need to be learning how to fix cars and boats instead of this throwaway culture we are living in. With a car/boat combined miniature, kids can now learn how to do basic maintenance on a car/boat plus at the same time learn about buoyancy for the water and how to change the oil. Colors come in blue or pink because we arent sexist around here."
"lzmerikjph8xi-HMNHUT-34","My idea is for the Floatie Play Den - an inflatable play experience for kids ae 5 - 11. The Floatie Play Den looks like a miniature bouncy castle but is design to be placed in your paddling pool, swmming pool, lake or other body of water. Kids will play a variety of games in the den which gives them the challange of climbing over barriers, under limbo lines, through tight spaces and tunnels and they can climb the inflatable stairs and slide down the chute. They need to figure out the way through, under and over the den - and all whilst having splashing fun in the water!"
"lzmerikjph8xi-HMNHUT-34","The Swimmy is a new way to teach your school age kids to be safe at sea. A complete safety vest with paddle board attched allows them to float, sit, lie down and stand all whilst securely attached to the board. There is a whistle, a light and GPS tracker just in case your child floats away. There is a timer on the Swimmy which sets a challenge for the child to swim x meters and in different directions across a pool or lake and they can watch their progress on a water proof touch screen. When they get home they can show their route, speed and timings to their family on the TV."
"lzmerikjph8xi-HMNHUT-34","BathScreen - Bath time was never this fun. A new tablet which is completely water proof presents a range of puzzles for kids whilst they relax in their bath. The suction cups keep the tablet steady and the child is introduced to clip videos about personal hygiene and the importance of self care - whilst completing fun games and challenges. When it's time to get out of the bath, the tablet will shut down - and parents can remotely extend the time or shut it down when they need the kid to get out and get dry!"
"lzmerkbzd38g6-HMRHUT-36","mobility codey moves around and exploring its surroundings and reacting to obastacles that kids might face and this helps thier problem solvings"
"lzmerkbzd38g6-HMRHUT-36","codey responds to sensors and evironmental changes and helps in problem solvings that kids might face and brings some kind of relieve to them"
"lzmerkbzd38g6-HMRHUT-36","it helps in developing the skills of individuals especially kids to be able to develops thier kids and know the best strategy to use"
"lzmes0obc3fd5-HMNLHD-37","A boat at the back of a the car with a rope that can extend from the car. i call it a caroat"
"lzmes0obc3fd5-HMNLHD-37","A transformer boat and car. can switch alternatively from car to boat, call it transformer. it will be mechanical and have only one engine which will be used for the two"
"lzmes0obc3fd5-HMNLHD-37","A oat with detachable wheels that can move on land and water. it will be an electrical engine powered by electricity"
"lzmes1qwn5d31-HMNHHD-38","Mini floating aquarium for bath time. Plastic or inflatable floating aquarium where children can add different shaped fish of different colours into the box aquarium. Also to 'feed' the toy fish they could sprinkle the toy 'fish food' which would be like a powder version of a bath fizzer which would fizz in the water and make the colour of the water change."
"lzmes1qwn5d31-HMNHHD-38","Floating treasure island. A toy island made from light floatable materials where the child can build their own mini treasure island. From palm trees to a treasure chest and pirates they can build it however they would like their own treasure island to look like."
"lzmes1qwn5d31-HMNHHD-38","Build your own inflatable mini racing cars. The child can pick and choose the colour, style and shape of the car by putting the different parts which are either inflatable or light floatable materials together, also making them interchangeable. Making multiple would mean they could also race them at bath time."
"lzmesckwsfwmc-HMRLHD-39","The car is designed to be made of wood with large rubber wheels so it can be held easily and easily moved over a range of objects. It contains acomputyer chip which connects to software on the computer when it is held. When the child plays with the car on their own, the """"journey"""" made is recorded and translated into an adventure with colourful landscapes to travel on, accompanied by music. This is saved so that it can be replayed. The child has fun repeating and altering the journey to be in charge of the adventure."
"lzmesckwsfwmc-HMRLHD-39","The car contains software linked to a computer programme. On screen the child can choose from a number of passengers that they can select to ride in the car. They can also design the passengers by choosing from parts of mythical creatures to create something new. They can also choose music to accompany their play."
"lzmesckwsfwmc-HMRLHD-39","A computer game played on a mobile where a photograph is taken of the space the child is playing in. The space can be basic,busy, an interior or an outside space. The child can then select """"genres"""" to alter the image of their space e.g an underwater scene. The software shows the room/space merging into the new scene on the screen. A photograph is taken of the car and the child chooses how to transform it into a vehicle that they want to travel through the altered roomspace. When they play with the car this is recorded as a journey in the new vehicle in the new space."
"lzmeu3tel85cf-HMRHHD-40","This toy brings mathematics to life by combining one of children's favourite Disney characters with learning their times tables! Flash from Cars zooms around the race track. In order to do so, children must type in the correct answer to a simple maths sum. They can pick from adding, subtracting, dividing and multiplying. As they grow, they can choose from easy, medium and difficult. The encouraging words of Flash make it fun for kids to learn"
"lzmeu3tel85cf-HMRHHD-40","It's a pogo stick (the sticks that you jump on?). The stick will say a sum and you have to jump out the answer! It's either a true/false question (two jumps for yes, one jump for no), or it's a sum with a maximum answer of 12. You can have as many goes as it takes to get the correct answer"
"lzmeu3tel85cf-HMRHHD-40","Wack-a-mole - but with maths! There are ten moles all with numbers on their heads. The toy will shout out a sum and you have to hit the mole with the correct answer on their head as quickly as possible"
"lzmeu3tel85cf-HMRHHD-40","Electric archery! Two player game. One player has to give the other player a sum, then the other player has to get the correct answer on the target of the board. Can be archery, could be darts."
"lzmeue8a74wkh-AINLUT-41","Aquatic construction set: a building kit that allows children to create land and water based structures to foster storytelling and collaborative play."
"lzmeue8a74wkh-AINLUT-41","Maths Voyager Cruiser: various modes where children solve maths problems through light up buttons to enhance numerical skils and promoting hands on problem solving"
"lzmeue8a74wkh-AINLUT-41","Adventure explorer duo: a toy that morphs between a car and boat so children can learn through experiental play. Promotes scientific play and critical thinking."
"lzmeuhk133vtg-AINHUT-42","bath connect 4, connect 4 game board goes in between 2 sides of bathttub wall, parent and child play, when someone wins all the pieces fall into the water. would be made of something soft and waterproof"
"lzmeuhk133vtg-AINHUT-42","floating foam jigsaw, bath puzzle designed for children, with vibrant undersea images, the foam attaches to the bathtub walls when wet"
"lzmeuhk133vtg-AINHUT-42","bathtub Battleship. using 2 floating game boards, and small floating toy vessels, similar to original game but could be simplified or brightened up for young children"
"lzmevaovgfuua-AIRHUT-44","A robotic pet which moves around autonomously or can be controlled by an app. It has sensors to navigate obstacles and responds to touch. The pet can engage in problem solving activities, like coding tasks. Theis design encourages physical activity and cognitive development fostering STEM skills through play."
"lzmevaovgfuua-AIRHUT-44","A floor mat that features a grid of pressure sensitive tiles that light up in various colours and patterns. Through an app children can engage in games encouraging physical activity."
"lzmevaovgfuua-AIRHUT-44","An augmented reality adventure set for children, equipped with a headset or tablet. The children will need to complete quests that require physical movement an problem solving. There will be many challenges to complete to encourage mobility and computation."
"lzmevh0yglq3x-AIRHUT-44","Robot Treasure Hunt: A programmable robot controlled with a that unblocks paths in a physical maze by solving math or logic puzzles."
"lzmevh0yglq3x-AIRHUT-44","Math Racing Cars: Racing cars with sensors and checkpoints on a track that present math problems. Solve these problems to move up."
"lzmevh0yglq3x-AIRHUT-44","Interactive Coding Ball: A smart ball with sensors and a coding interface. Kids program the ball to perform tricks, using mathematical patterns and logic, enhancing computational skills through physical play."
"lzmewomwtqrkv-AIRLHD-47","A steering wheel with a screen in the middle which has functionality that mimics a laptop. In the laptop feature there can be word and number games and age appropriate music."
"lzmewomwtqrkv-AIRLHD-47","A mini vehichle duplicate with a screen on the mini dashboard. The screen functions and has games of all sorts."
"lzmewomwtqrkv-AIRLHD-47","A multipart car toy that is remotely controlled by the user by tablet or smartphone and has a mini computer built into the car. The user can drive the car around remotely."
"lzmewvg4jy5xx-AIRHHD-48","A walker with 3 bars running around it forming concentric semi-circles. The bars are filled with beads that can be moved. Behind the bars, on the walker frame are numbers and pictures of animals"
"lzmewvg4jy5xx-AIRHHD-48","A game that calculates the number if exercises completed correctly. A number is shown - of points needed. The points must be exact. It show 5 exercises and allocated points for each, the player must then quickly work out how many reps of each to reach the goal. It will get progressily harder"
"lzmewvg4jy5xx-AIRHHD-48","Car park game - small. plastic cars with a number of each. The board has parking areas. There are cards which are turned-showing how many cards can be parked, and what is the total amount that the numbers on the top can show. They then drive the cars to their parking spots - ensuring the numbers add up to the correct amount"
"lzmewvt1rghj6-HMNLUT-49","Introducing, 'CarOBoat', the first-of-its-kind toy that combines the features of a Boat and a Car. The CarOBoat can be used in water and on land for unlimited fun activities. Kids can use the same toy to play on land and water. With retractable wheels, it is more convenient to play with the same toy on different surfaces."
"lzmewvt1rghj6-HMNLUT-49","The 'CaBoTransformer' is the latest innovative robot that can transform between a Boat and a Car all with the press of a hidden button. It's ideal for kids who want the best of both worlds. By pressing the hidden switch, the Transformer Robot opens up, giving the kids the option to twist, turn and make the robot into a car or boat whichever they choose."
"lzmewvt1rghj6-HMNLUT-49","Bocar Puzzle Box is rated as one of the best kid-friendly puzzle boxes. It helps kids solve the puzzle to reveal the hidden Boat / Car. Better yet, with the given timer, it makes it even better; now kids can play Co-op taking turns and finding out who can solve the puzzle faster. Having more than 25 different ways to solve the puzzle will help kids hooked up for hours."
"lzmex1mdqkb2u-HMNHUT-50","A toy that can be used in a pool to help the child stay afloat. -This will assist the child to move physically without the help of an adult -It will also enable them to float in the water by wearing it on their legs,arms or neck. -It will however also require them to test their own cognitive ability by moving themselves and thinking about how they can make that happen. They will learn from experience and learn what the best way is to move forward -This all requires the child to be submerged in water"
"lzmex1mdqkb2u-HMNHUT-50","A mini lifeboat that can be used in a pool and in the sea(under the supervision of an adult) - The child would be able to move themselves physically and manually by rowing or padelling. - This creates a real life situation, of being a lifeguard and it gets them thinking about what they could do to save someones life and how it feels. A doll could accompany the boat so that an adult can throw it on the far end of a pool and the child should be tasked to go and fetch it -This would allow them to think for themselves about how to get their as quickly and safely as possible. The boat would float but they would be in control"
"lzmex1mdqkb2u-HMNHUT-50","A bath time toy - The toy itself would be floating -The child would con"
"lzmexr7zcoca7-HMRLUT-51","A toy which combines helps children with increase their cognitive ability could be a remote-controlled car. The car which is powered by a battery can be controlled and moved with a computer that illustrates a remote control. This concept allows children to understand the different buttons and use their problem solving skills to work-out a solution."
"lzmexr7zcoca7-HMRLUT-51","Another idea could be using a small interactive device where there is a screen and a small steering wheel on the top and mimics a car game where there are obstacles and by using the steering wheel you are able to avoid them. This is a simplified minigame similar to driving game to allow children to learn from the initial experience of dodging the cars and learn to use the steering wheel quickly increasing their cognitive ability."
"lzmexr7zcoca7-HMRLUT-51","Similar to the previous one, an idea that combines both a car and computer would be a makeshift car seat, with a steering wheel and a low quality screen that would display and mimics a race on a track. Similar to the ones you would find at an arcade game, this small one for children would use both the breaks and accelerator to drive the car for a race in the game. Children would have to multitask and use their problem solving skills to understand which pedal corresponds with which action as well as learn quickly as it a racegame."
"lzmeym81o4ef8-HMRHUT-52","A large magnetic interactive times tables board (that fills a whole wall) Children can place the answers on the board (it is large enough to encourage movement) The board is very colourful to be appealing to the children, and the game comes with a timer for a competitive element to pay with siblings and friends."
"lzmeym81o4ef8-HMRHUT-52","An outdoor golf game which encourages the children to count their scores on a score card. The game can be set up in a small or large garden, or even indoors and can be played with the whole family. The game combines movement and maths calculations."
"lzmeym81o4ef8-HMRHUT-52","A discovery card game which involves finding a certain number of items. e.g. find 5 shells on the beach.The game can be played at home or on holiday. The game encourages children to explore and count items. At the end, they will count their total number of items. The game can be played alone or with friends and family and is good for travel."
"lzmeyoy3dbgqh-HMNLHD-53","A toy that when it touches water the wheels fold inward and create propellers for the toy so the child can use it on both land and water"
"lzmeyoy3dbgqh-HMNLHD-53","Have a toy that looks like a car but can be detached. Once detached items can be rearranged to make a boat that can drive on water"
"lzmeyoy3dbgqh-HMNLHD-53","Have a car with items in its boot that can be taken out to assemble a boat so the 2 items can be used at once"
"lzmf18kge502l-HMRLHD-55","The Kit-Car - a Knight-rider style car that is capable of incredible feats such as flight, instant turns, and defensive weaponry that allows your child to be the worlds greatest spy"
"lzmf18kge502l-HMRLHD-55","An auto-drive car that takes groups of children on educational excursions around the city-country-continent. Essentially, the ultimate school trip, where the car takes the role of both supervisor and teacher, and students experience and learn about all the places and cultures they visit!"
"lzmf18kge502l-HMRLHD-55","The Child-Care-Car that entertains and teaches your child as the parents drive. While you focus on the destination, the car focuses on keeping your kids occupied with fruitful and worthwhile experiences."
"lzmf1w3ta5h7x-HMRHHD-56","The first idea is like a transformer. There are wheels on some of the parts/blocks to allow for movement. The toy comes with multiple cards showing items it can be transformed into (a car, a robot, a spaceship) by changing around the parts. The building and connections will involve a mathematical element, using basic addition/subtraction/number recognition to find which pieces go together. Pieces will have a corresponding number (either written or colour coded). So for example combine two 5s to make a head."
"lzmf1w3ta5h7x-HMRHHD-56","A handheld computer (about the size of a gameboy or remote control) with a car or other vehicle connected to it. The child must solve math sums to get the car to move (either certain sums equate to certain movement or by building up a number of correct answers to get a certain number of moves). The difficulty can be altered to allow for children getting older and having better math skills (e.g. age 5 mode basic addition and subtraction, but age 10 mode including larger numbers or multiplication/division."
"lzmf1w3ta5h7x-HMRHHD-56","A car with wheels that are """"locked"""" until you put certain small pieces into holes in the car to enable movement. Which small piece will correspond to maths puzzles on cards. The small pieces will be numbered and the cards will have a picture of the location of the hole and you have to complete the sum on the card to find out which numbered piece to use."
"lzmfh7ueinv9x-AIRLUT-59","An eductaional toy car that teaches kids about cars and the mechanics behind it. How cars are manufactured etc -This would be particularly useful forchildren that would be interested in this career field etc -A mini toy car that has a built in computer screen that would be used for educational purposes. -The computer could have educational videos that makes learning about cars fun. -This would expand their cognitive ability and help them learn quickly about it. -lots of videos about how cars are made should be included -information about the software in the vehicle might be interesting to older children above the age of 10"
"lzmfh7ueinv9x-AIRLUT-59","A toy computer that is shaped as a car -This would be ideal for children on the younger end of the spectrum of ages 5-11, since it will be able to speak to them and ask questions in a way they can understand -It would be something they can fold up, pack in their bags and take with them wherever they go. -Their could also be built-in quizzes and puzzles etc that would interest children between those ages"
"lzmfh7ueinv9x-AIRLUT-59","Lastly, a computer/video game -This game would be all about cars -designing your own cars and being able to drive them to the grocery store, garage and even perform a car wash. -it would not be the typical car racing video game but more like SIMS4CARS -They would be able to purchase new features, perform tasks that would earn them coins so they can purchase things for the cars and even purchase new cars. -they could take on the role of car enthusiasts, have their own garage workshops and make money by fixing cars. -this would be a real-life simulation game"
"lzmflzbshx9y6-AIRHUT-60","i would design a robot that reacts to humans chasing it around. So a child would chase it and when it got within a short distance of it the robot would quickly move keeping the child on it's toes and therefore helping itbto keep fit"
"lzmflzbshx9y6-AIRHUT-60","you could design a robot that walks around with a child and only interacts when its moving, again keeping a child fit. The robot would then interact with the child asking it questions on different topics. At the end the robot could tell the child how many steps it has taken, how many calories burned and how well they did on the questions"
"lzmflzbshx9y6-AIRHUT-60","i would design a robot that shows video clips of dance routines and fitness goals and once the child perfects the routines or hit fitness goals or even gets so many questions right then they earn points to spend instore or online to play other games"
"lzmgaftmp3yvy-AINHHD-62","""""Aqua Adventure"""": a multisensory floatation toy. Combining floatation device and integrated interactive waterproof screen presents different activities."
"lzmgaftmp3yvy-AINHHD-62","SwimPal is an interative float that contains pool game euipment including balls, a net, nerf toys and more"
"lzmgaftmp3yvy-AINHHD-62","Wave rider rings are colourful textured hoops that kids swim through, improving mobility and swimming skills through fun, active play"
"lzmgkuagfv33b-AIRLHD-63","The first toy is a car with a computer, however, this car comes with a series of magnet nodes (also disguised as accessories) like trees, animals, traffic lights, buildings, and so on. Each of these accessories has a small array of powerful magnets in specific orientations. The car has a series of electromagnetic sensors and recognizes each unique node/accessory. Each node corresponds with a different command recognized by the computer (e.g., turn left, speed up, do a doughnut, honk, etc). The child plays with the toy by arranging the nodes to produce behavior in the car."
