uniqueIdeaIndex,idea
m2km9dmge4d18-HMNL-9-1,"River Rover - a dual-action toy that switches from a Land Rover to a boat. 
this toy should have a hinge system to retract the tyres to turn the car into a boat.
this toy should be made of plastic to ensure it is able to switch from land to water. 
it should be accessorised with headlights and windows like a car and be complete with a detachable sail like a boat."
m2km9dmge4d18-HMNL-9-2,"River Racer - a combination of a racing boat and a racing car, composed of bright colours and sporty decals"
m2km9dmge4d18-HMNL-9-3,"From river to road - a small car/boat 
with a detachable sail like a boat and bright colours to appeal to kids 
hinges to retract the tires and transform the car into a boat"
m2km9eeclwey6-HMRL-11-1,"Toby the CarCompie, pi based computer in car shell with remote to control and programme so kids can learn and pay at the same time."
m2km9eeclwey6-HMRL-11-2,"Tablet and car, app for controlling a small car, learn simple coding and navigating apps which could include fun learning. Monitization for additional features and learning. 

Car City, Car on the Go. Brum Brum City."
m2km9eeclwey6-HMRL-11-3,"App based game for car that has to get from A to B to deliver computers or small machines, learning and play with links in to collect data for re-sale.

Car delivery service. Car wiz, Wizard car."
m2km9f17wsih7-HMNH-10-1,"A mini speed boat for families with access to water. With enclosed mechanical parts for safety and strong advisories in the instructions, your child can freely explore the ocean at high speeds."
m2km9f17wsih7-HMNH-10-2,"Battle Ducks. Heavy-duty remote controlled rubber ducks designed for bumper car style battles. Internal sensors track hits and play a noise from the handset. No one loses and no one wins, you just smash ducks together."
m2km9f17wsih7-HMNH-10-3,"Extremely floatable ball. Made of scientifically tested materials of names no one can pronounce, the ball is aggressively buoyant and will fly out of the water at high speeds if held underneath. Noses were broken during the testing of this product but it was so fun it was signed off for production."
m2km9mn7fdjot-HMRH-12-1,"The first idea is a scooter which the child powers up by completing fun maths activities on a bluetooth linked phone or ipad. Completed tasks earn battery life, and bonuses earn sounds and lights."
m2km9mn7fdjot-HMRH-12-2,"This is a pogo stick which bounces higher the more maths tasks are completed, using a voice input. The stick is auto stabilised to avoid children falling off."
m2km9mn7fdjot-HMRH-12-3,"This is a car simulator, which goes on a virtual journey as part of a quest story, based on the geography curriculum. Children complete tasks and answer quizzes alongside a virtual animal companion."
m2km9n1tcpq18-AINL-13-1,HydroRacer 5000. This toy blends the thrill of racing cars with the adventurous spirit of boating. It features a sleek aerodynamic design
m2km9n1tcpq18-AINL-13-2,BathCruiser Turbo. This toy combines the excitement of a speedy car with the fun of a boat specially created for bath time. It floats effortlessly in the water whilst having robust wheels to enable it to roll around the edges of the bath. Vibrant colours and waterproof decals capture kids imaginations.
m2km9n1tcpq18-AINL-13-3,AquaRally cruiser. This is a dynamic remote control toy that merges the capabilities of a high speed car with those of a boa with a rugged exterior but amphibious design allowing for transition between land and water.
m2km9urgtfvr1-AINH-14-1,Aqua rover - a thrilling and innovative toy that combines movement and buoyancy for a captivating playtime.  It has a dual propeller system and can glide across floors and float on water surfaces.  Kids can move it in different directions.
m2km9urgtfvr1-AINH-14-2,"dolphin skimmer, it can swim in water of skim across land, exploring the environment. it responds to hand gestures making playtime fun"
m2km9urgtfvr1-AINH-14-3,turtle trekker - a friendly tutle that can scuttle across many different surfaces and can float and swim in water.  it has sensors so can avoid obstacles and make its own decisions.  it has cheerful sound affects and LEDs to enhance play
m2kma07gm62x5-AIRL-15-1,"Robo racer interactive car.  A smart toy car with a programmable microntroller.  Children can use simple programming to code commands and maneuvers. Encourages STEM skills through interactive, hands on play so it's educational and entertaining."
m2kma07gm62x5-AIRL-15-2,"Tech mobile playet. This is a set of smart cars with interchangeable parts. The cars can be interacted with via an app on a child friendly tablet.  Children can design digital racetracks and learn about velocity, friction and energy in a fun envirmonment."
m2kma07gm62x5-AIRL-15-3,Code and cruise arcade car. Car shaped console including a screen where children can take part in virtual races whilst learning about basic coding. Children can solve coding puzzles and use a physical joystick for tactile experience. Different levels means it can hold children's attention as they grow.
m2kma1d975sel-AIRL-15-1,"Introducing the SmartTrack Racer, a toy car that pairs with a tablet or computer to offer an interactive racing experience. This toy car features an on-board mini-computer equipped with sensors and a Bluetooth connection, allowing real-time interaction with a custom racing app. Children can design their race tracks using a digital interface, which then projects augmented reality elements onto their physical environment. The car responds to virtual obstacles and boosts, engaging kids in a mixed-reality racin adventure. Kids can customize car features within the app and participate in virtual races and challenges, promoting creativity and tech-savviness through play."
m2kma1d975sel-AIRL-15-2,"Presenting the EcoDrive Adventure Car, a toy vehicle that teaches kids about sustainable driving while maximizing fun. The car comes with an on-board computer that monitors energy consumption and driving patterns. Powered by a small solar-panel roof or rechargeable battery, it encourages kids to drive efficiently by rewarding smooth turns and gentle acceleration with flashing LED lights and positive sounds. The car includes sensors to detect and alert for imaginary obstacles, fostering strategic planning skills. Additionally, it features a detachable trailer for carrying small items, promoting imaginative play scenarios like recycling missions or cargo deliveries, all while reinforcing eco-friendly habits."
m2kma1d975sel-AIRL-15-3,"Introducing the VirtuDrive Explorer, the next generation of immersive toy cars that blend physical and virtual worlds seamlessly through advanced AR technology. The vehicle, equipped with an on-board camera and sensors, connects to VR goggles worn by the child driver. As the child navigates the car through their home or garden, the goggles overlay an immersive AR environment transforming it into alien landscapes, dense jungles, or bustling cityscapes, filled with dynamic challenges and hidden treasures. The car's AI-driven system responds to physical movements in real-time, delivering an engaging experience that promotes spatial awareness and adventure storytelling in a captivating virtual reality realm."
m2kmadtr9pty5-HMRL-19-1,"We should integrate the driving of the car to be more like a computer game, with inputs on where they want to go. I would imagine this to be a computer interface with no steering wheel or gear shifter that self drives the car. it would be fun because it is 1 less skill for someone to learn and can make everyone be able to accessibly use vehicles."
m2kmadtr9pty5-HMRL-19-2,"Video game on your computer where it simulates driving cars with very high realism. Normal road driving simulator, much like european truck simulator but with sedans."
m2kmadtr9pty5-HMRL-19-3,A computer that is shaped like a car. The case of the computer is a car and the internal hydraulics operate a water cooling loop for the components
m2kmaynyn75op-HMRH-20-1,"wheels in motion children can adapt ride- on cars to explore their surroundings ,eg a car that is able to move around"
m2kmaynyn75op-HMRH-20-2,speed in motion.one can design a well structured toy maybe a jeep toy car and the kid can play around with
m2kmaynyn75op-HMRH-20-3,also a one can have a toy like a bicycle that uses speed to move around and a child can comfortably use it
m2kmb8c916li7-AINL-21-1,A car can transform into a boat when it is on water and a car when it is on land.
m2kmb8c916li7-AINL-21-2,A do it yourself building kit for kids. It encourages creativity for kids where they can build their own boat and car.
m2kmb8c916li7-AINL-21-3,A rescue adventure play set where the car can tow the boat on land and the boat can tow the car on water.
m2kmbp7tre4do-AINH-22-1,"AquaHelixFunDrone-toy is an innovative floating toy with whimsical flying saucer shape. It has a diameter of 8 inches, a compact and light weight body, a durable and high-quality foam rims to ensure buoyancy, a vibrant LED lights that captures children attention, and a soft silicon propeller system for flying and hovering with captivating child friendly aesthetics."
m2kmbp7tre4do-AINH-22-2,"SplashTrackAdventure-Ring a gyroscopic ring-toy with hovercraft racing and swimming abilities. It is shapped like a donut with a diameter of 8 inches. It is constructed from durable lightweight plastic and has a thumb-operated, waterproof engine turbine and dynamic child-friendly LED lights."
m2kmbp7tre4do-AINH-22-3,HoverGlider-toy with smart auto-stabilising gyros and waterproof propulsion turbine. Made from Expanded Polypropylene foam with LED lights and silicone bumpers.
m2kmc13p0ufib-AIRL-23-1,"smart racer lab is an ai powered car building kit for kids, the kit has a variety of modular car parts that children can assemble in countless combinations. you can control speed handling and endurance using ai."
m2kmc13p0ufib-AIRL-23-2,"tech racer is the first idea, an interactive toy car that has a built in screen on the dashboard that that child can use to customise the design of the car and racetracks."
m2kmc13p0ufib-AIRL-23-3,"quantum carverse, a holographic AR toy that fuses virtual worlds and physical racetracks, the car is equipped with sensors and cameras. children can customise the AR landscapes."
m2kmgxflc8x64-AIRH-24-1,"MathQuest: A scavenger hunt where children receive math clues to locate hidden items, in a large area, like a field. Like a normal scavenger hunt, they answer clues to get the prize!"
m2kmgxflc8x64-AIRH-24-2,"The Puzzle Racer: A toy car that runs on a track, powered by answering maths problems. The child will use a remote control to drive the car, but it only accelerates when they solve a maths question on a remote screen/app. If they fail, it decelerates. The car will always go at a speed, faster if questions answered correctly, slower if answered wrongly. This can make time trials between friends, racing to get the best time!"
m2kmgxflc8x64-AIRH-24-3,"Math Tag: An active play toy that combines the classic game of tag with interactive educational math challenges. To unfreeze, they have to solve the problem. The game ends after a time limit, or when all people are frozen."
m2kmr7tedqf4m-HMNH-26-1,"A car and a boat toy combined. This is almost a take on chitty chitty bang bang. So the car would move around using a remote and the child can then change this into a boat so it can go into open water, like lakes, the sea, a bath, a paddling pool, etc."
m2kmr7tedqf4m-HMNH-26-2,"a duck that both walks around and floats, but this could be controlled via voice control and so can help children to also learn to give instructions and speak e.g. they say ducky, run faster or ducky, swim mode. it can then be taken outside in the garden, in the bath or swimming pool, etc"
m2kmr7tedqf4m-HMNH-26-3,"An airplane toy that can be controlled via your phone or a remote control that flies around, and can land on water."
m2kmrc64jvijn-HMRL-27-1,"A remote controlled racing car set with two cars and two controllers to teach kids how to add, subtract etc. A digital screen on the controller displays age appropriate math problems. If the child answers correctly the car will receive x amount of fuel to continue racing to the finish. The goal being to answer more questions correctly quicker than the other kids racing.  Using the same concept, other categories can be chosen for the game. IE history, english etc."
m2kmrc64jvijn-HMRL-27-2,"A toy car that has lights and a voice for the lower end of the age range(5-7).  The car talks and teaches colors, numbers and shapes."
m2kmrc64jvijn-HMRL-27-3,"A toy powerwheels type car that kids can actually drive. A screen is in the car where kids can map out navigation pathways in their play area (yard, park etc.) and the car will drive on its own. Safety precautions added to the car so that kids need to be in the car and sensors to avoid collisions."
m2kmrcansixgg-HMRH-28-1,"My concept is a calculator in the form of a car for simple mathematical computations, including addition and sbtraction in a base version for younger ages, say 5-6 and extending to include multiplation and division for the version for older kids (till age 11). The car needs to be a decent size to be able to incorporatte easily accessible buttions in a simple calculator interface on the top of the car. The comptations which are entered (eg, 2+4) are then visible on an lcd display in the windscreen of the car. After pressing enter the answer is displayed. Then the car moves to give a visual representation of the answer. For, addition it (for the example of 2+4) it will move in a straight line counting counting up to 2 then display the + sign and start moving again counting to 4 and finally display the answer of 6. This will give a visual representations to youung children learning to cope with such mathematical computations what length/distance different numbers and their combinations represent. Similarly, the othjer computations will be demonstrated as follows. For subtraction the car will move forward by an arbitrary length for the first number and then reverse to represent the subtracting number, again displaying the numbers on the screen counting the numbers as it moves in either direction. For multiplication, the car would move forward by the length of the first number then move right by the lenght of the second number covering the sides of a square of a representative rectangle with such dimensions, and then finally trace out the area of the rectangle by moving up and down along the are of the shape as it counts the answer to the multiplicative solution. For division, the car would move in a straight line to demonstrate the lenght of the first numher then pause to display the division sign and number to be divided by, before driving back the lenght pausing along the length of the solution to the proble, eg for 6/2 the car would drive forward by 6 then do a loop to point backwards and then drive 3 (all the while counting up) then pause before once again driving a length of 3. Different animations on screen at the end of each operation or between driving the initional equation instructions and tracing the solution can make it more lively for kids. Similarly, a mode to test kids development can first drive the appropirate ditances and then request a solution to drive the appropriate distance. If the answer is correct then an animation can provide confirmation, if not then the car can drive again to trace out the ocrrect path an ddemonstrate the visual difference in the solution."
m2kmrcansixgg-HMRH-28-2,"A circular shaped dial game with a core circle displaying mathematical operations including addition, subtraction, multiplation and division, a second outer ring with numbers between 0 and 1, followed by another similar 3rd outer ring. The combination of the first circle and the two subsequent rings will define the mathematical operation. FOr example, 2+5 will be instructed as + chosen in the core circle followed by 2 in the ring immediately adjacent to the circle and then 5 in the second ring. Two further rings will then allow the player to choose the answer, in this case 05 or possibly 5 followed by a blank option in the outer most ring. The core ring (which should be a dynamic lcd display) will then proivide confirmation of whether the response is correct and what it shoud in fact be. The compact circular design of the entire toy would make it easier to carry around."
m2kmrcansixgg-HMRH-28-3,"A ball with an lcd display, a bit like a magic 8 ball. The game can be played by a single player or between two players. The first player chooses a number on the screen (perhaps through a simple scrolling mechanism). The ball is then shaken by either the first player or handed to the second player to shake, if played amongst two players. This generates a mathematical operation (addition, subtraction in which case a smaller number must be chosen, multiplication, but no division to avoind dealing with fractional values). Next a player must enter a new number. The game can also be played against an automated oponent to make the 2nd numeric selection. The player must then choose their answer on the screen from the scrolling menu after which the ball will provide a confirmation along with an engaging message to have a fantastical explanation for what the number might represent."
m2kmrlphygt7l-AINL-29-1,"The Transforming Amphibious Vehicle Toy: Features a dynamic car-to-boat conversion, retractable wheels, and expanding fins. It comes with a floating race track, creating thrilling water-surface racing adventures, enhanced by bright colours and sound effect"
m2kmrlphygt7l-AINL-29-2,"The SpeedRacer Hybrid: A sleek toy that morphs from an Formula 1 car to a speedboat, featuring aerodynamic fins, and a vibrant design for thrilling land and water play adventures."
m2kmrlphygt7l-AINL-29-3,"The AquaDrive Convertible: A floating toy car with pedal-powered movement, a steering wheel for navigation, and a detachable roof doubling as a kayak paddle, offering dual adventures in  the pool."
m2kmtdclsf1zz-AINH-30-1,"The AquaScoot is a hybrid water-scooter designed for kids between the ages of 5-11. It's a small lightweight scooter that transforms into a floating ride-on toy for the water. The base has built-in buoyant sections, so when it hits water, it floats! On land, it's a smooth scooter with adjustable wheels that kids can ride, while in water, the wheels retract and the bottom becomes a stable platform. Children can paddle with their feet to move, or use special detachable hand paddles to scoot across the water. Bright, colourful, and easy to maneuver, it brings fun to both pools and playgrounds."
m2kmtdclsf1zz-AINH-30-2,"HoverDuck is a fun inflatable ride-on shaped like a cute duck or animal, equipped with a small propeller system. On land, the propeller (safely encased) helps kids hover along smooth surfaces, giving them a gentle ride with a floating sensation. In water, the HoverDuck floats naturally, and kids can steer it with simple handles or a remote control."
m2kmtdclsf1zz-AINH-30-3,"The GlideBoat is a two-in-one hoverboard and paddle boat. On land, kids can stand on it like a hoverboard, and it has built-in balancing technology that lets them move with ease. Once they take it to water, it becomes a floating board that they can sit or stand on. With hand paddles that come with the GlideBoat, kids can steer and propel themselves across pools or calm waters. The design features bright colours, playful animal prints, and stability to ensure they have fun in a safe and exciting way."
m2kmtr5il69dk-AIRL-31-1,"The Math Racer Pro is an education driving simulator using a seat, steering wheel, pedals, and screen. Kids drive on animated roads, answering math questions by steering towards the correct answers. It offers progressive difficulty, customizable avatars, and multiplayer modes, combining interactive learning and exciting game play."
m2kmtr5il69dk-AIRL-31-2,"The Smart Cruiser is a ride on car with a touchscreen dashboard that plays music and displays interactive roadways. It teaches kids basic road safety by incorporating virtual stop signs and traffic lights, merging entertainment with learning. The customizable playlists and intuitive controls enhance this engaging educational driving experience."
m2kmtr5il69dk-AIRL-31-3,"The mini Wheel Racer is a handheld car simulator shaped like a steering wheel with a screen. Children steer by turning the wheel or use buttons and toggles to control acceleration and direction. Offering multiple racing modes, it combines tactile and visual elements for an immersive, portable racing experience, enhancing coordination and reflexes."
m2kmwhkit165s-AIRH-32-1,"Botanical Explorer Drone, is controlled through a tablet and can record environmental data, including temperature and plant life, which is stored and analyzed."
m2kmwhkit165s-AIRH-32-2,"Smart Dance Mat, is an interactive mat with pressure sensors and LED lights, which allows children to follow dance routines displayed on the smartphone or tablet screen that it is connected to. It offers points to the user based on the creativity and complexity of their choreography"
m2kmwhkit165s-AIRH-32-3,"Smart Backpack, is a motion sensor, LED lights and screen equipped children's backpack, which encourages physical activity. It offers challenges to children like scavenger hunts, through a connected app, to help them stay active"
m2kmyrigc36la-HMNL-33-1,"I will design a toy car that can work in floor and also in water, to have the shape of a boat. It can be played with in both land and water. I will call it Caraqua."
m2kmyrigc36la-HMNL-33-2,I will design a transformer car that can transform into a boat. Inspiration is from the movie transformer but none of the cars transforms into a boat. This would be a cool feature for kids. I will call it Aquashifter
m2kmyrigc36la-HMNL-33-3,"I will design a car by making the front to have the shape of a boat and the back to have the shape of a car, this would be appealing to kids as well. It will look like a scifi design, with a vibrant colour."
m2kn13mf3u0gm-HMNH-34-1,A hovercraft like toy that glides on water and land. Powered by small fan it floats on water while children steer it using a remote control making it fun for pool or smooth surface
m2kn13mf3u0gm-HMNH-34-2,A skateboard with buoyant wheels that can be used on both hard surface and water. Kids can ride it on sidewalks.
m2kn13mf3u0gm-HMNH-34-3,"A toy set of cars with bouyant bodies allowing them to race on tracks that switch between land and water paths, making for dynamic and varied play"
m2kn2sdrqqvhf-HMRL-35-1,A car that can change its external colour by the use of the computer and its built in external graphics. There are a minimum 2 seats with the ability of upgrading to 4 for bigger families. The car has the natural ability to travel forwards and backwards with the same small engines utilised in scooters. There are either 2 or 4 screens that act as learning mechanisms for the school curriculum appertaining to the age of the child that is inputted. Assisting them to drive and talk out loud to the screen whilst answering questions to the inbuilt computer AI. This is specifically for all genders.
m2kn2sdrqqvhf-HMRL-35-2,The ability of this car is to allow any single driver to learn the basics of driving whilst they pass road side signs that are displayed in multiple languages and the driver needs to identify each correctly for the car to move forward on a predetermined track. Therefore allowing the driver to progress forward with both visual stimulated learning and the ability to learn anew language.
m2kn2sdrqqvhf-HMRL-35-3,"This car whilst having an engine will not actually drive, but just utilise the ability to drive the car on a simulated mechanism, utilising all the elements of a normal standard car. But whilst driving along the driver and passengers will be immersed in scenery from any country they choose for any where in the world that has roads, they will orchestrate their wants and wishes via the onboard AI computer aided assistant to enjoy all aspects of any country and traditions they choose. Therefore learning about new cultures and countries before they get to their informative years in life."
m2kn5mewjsocr-HMRH-36-1,"Have a small tricycle that a child can sit on and ride. The tricycle can calculate the distance the child has gone, so they are able to see how far they went. It also has a timer on it, so the parent can time their exercise sessions."
m2kn5mewjsocr-HMRH-36-2,"A skateboard that has the feature of turning up or down the resistance, so that the person using it has to use their legs harder to move. The skateboard would have a built-in resistance feature so that it can be adjusted by either an analog dial or a digital button."
m2kn5mewjsocr-HMRH-36-3,"Rollerblades that have a small motor inside them to assist with going uphill. This will assist children with mobility issues but still want to partake in the activity. The skates have an adjustable dial to assist with the motor's strength and have a digital display that shows how much of the battery is left, and how long the child has been using it."
m2kn7bowwr37c-AINH-38-1,An wind up otter that can float around the bath on its back as well as its front can blow out water toward the child having the bath.
m2kn7bowwr37c-AINH-38-2,an electronic skipping  boomerang rock that can guarantee that it will skip across a body of water and  return to the child for full enjoyment.
m2kn7bowwr37c-AINH-38-3,a remote control pirate ship that can run on a body of water and fire cannon of water at objects in the pond or lake . simple controls that young children can use
m2knbcej8viz5-AIRH-40-1,"Math Adventure Mat: A large, interactive mat featuring different mathematical challenges. It includes hop-scotch-like sections with arithmetic problems to solve by stepping or jumping. The mat lights up or gives sounds when a child steps on the correct answer, encouraging movement and cognitive processing."
m2knbcej8viz5-AIRH-40-2,"Safari Math Adventure: This board game uses both digital and physical components to keep your child's interest by combine math learning with animal encounters. Players use a tablet with an interactive application that explores the physical map you have at home. This is a safari park that is filled with various animal habitats. As the child moves across the board, new and exciting problems come up such as counting or simple arithmetic challenges. These allow them to collect rewards and advance in the board. This encourages physical movement and also boosts math skills, all while engaging with a fun, animal-themed adventure."
m2knbcej8viz5-AIRH-40-3,Art Bot: It includes a special set of pens and paper that interacts with a tablet. The Child draws pictures and/or designs with conductive ink that will allow the app to scan and transform them into digital commands. These commands allow children to create their characters or scenarios while they solve arithmetic problems. This enhances STEM learning and bridges the gap between art and science while teaching your child mobility and computation.
m2kndjq851wkj-HMNL-41-1,"Presenting the AquaRacer : this cool toy combines the sleek lines of a speedboat with that of a sports car. The wheels fold away when not in use, revealing fins on the reverse of the wheel so the boat can steer. Fully waterproof and floats in the bath, so your child can enjoy the AquaRacer at any time."
m2kndjq851wkj-HMNL-41-2,"The latest innovation in toys, presenting the Mighty Mover! This rugged amphibian vehicle, presented in camouflage colours, has fully moveable wheels and will float in water. It shoots small foam darts to fully emphasise its tough credentials - nobody will want to mess with this floating tank!"
m2kndjq851wkj-HMNL-41-3,"You've heard of Formula One, now get ready for Formula B! This F1-inspired car design can clip into the hull of a speedboat, making a toy that's versatile and looks cool. Kids will love it and want to play with it! Comes in a variety of colours and boat hulls so you can mix and match your favourite colours and designs, so whether you're on land on on the water, you'll be a champion with Formula B."
m2knf6mvlzx36-HMNH-42-1,"A toy that consists of three parts. One is two lily pads that can float on water, and the third part is a plastic frog that has a magnetic base that will be attracted to a built in magnet on the lily pads. The lily pads will also have a spring like launcher that can be used to launch the frog via timed switch or a manual pushing switch. This would allow kids to play a game of trying to land the frog on the other lily at some distance away and can function both on water and non water surfaces."
m2knf6mvlzx36-HMNH-42-2,A plane with the floats underneath it that can make it land on water. But this plane is a mini version of it and has RC control so that the user can control it and fly it at will. It will be able to land on both water and non water surface as well.
m2knf6mvlzx36-HMNH-42-3,A plastic boat that can be winded up and used to propel the propeller and allow the boat to move around in the water for a short period of time.
m2knhks2fftro-HMRH-44-1,"The Olympia, a durable and lightweight bracelet that can be worn like a watch. The Olympia tracks how many steps you have taken, how fast you moved in 24 hours, and how many times you have jumped. Awarding virtual badges to kids who complete daily, weekly, and milestone challenges. Plays sounds and lights up when challenges are completed."
m2knhks2fftro-HMRH-44-2,The Wild Bat combines the fun of a traditional baseball bat with technology. It will challenge you to perform better swings and give the child feedback with sounds whether they are improving their swing or not. Adjust the challenge indicator on the bottom of the bat to challenge yourself to make even more powerful and more difficult swings.
m2knhks2fftro-HMRH-44-3,"The Matrix Ball appears to be a standard ball at first. But, it comes with a powerful tracker that will track how far it has been thrown, how fast it has been thrown, and how many times it has been bounced. Providing the fun of a standard ball, while enabling the child to set goals and compete with themselves."
m2knob5f3a1uc-AINH-46-1,"A toy mermaid that has a detachable flipper and accessories, when in water she floats and moves allowing kids to chase her, on land she has a leg attachment which allows her to walk around."
m2knob5f3a1uc-AINH-46-2,A toy amphibious prehistoric fish that paddles in water encouraging children to chase it and can crawl on land when out of water
m2knob5f3a1uc-AINH-46-3,An flying fish toy made out of translucent rubber that has multiple led lights inside which can paddle through water and when on land it jumps up and down to encourage children to catch and throw it around
m2knoj3zpaab0-AINL-45-1,"aquaracer 
aquaracer is a aerodynamic toy which can transition between land and water with rectranle wheels. in water the wheels rectract and it becomes a boat"
m2knoj3zpaab0-AINL-45-2,"hydro cruiser 
the hydro cruiser has rectrable rudder and propellers for smooth water navigation. out side of the water it has sturdy rubber wheels for effortless use"
m2knoj3zpaab0-AINL-45-3,"wave runner express
this amazing toy has an adjustable suspension system allowing it ot various terrain with ease,on water or land"
m2kntkr3z7b9c-AIRL-47-1,CodeRacer - combines a toy car and computer coding for a fun gaming device. The car is small and strong so ideal for this age group with an exciting ability for children to program its movements.
m2kntkr3z7b9c-AIRL-47-2,A solar-powered eco car made from biodegradable materials and a great way for children to appreciate the importance of eco-friendliness. Children program the car to carry out fun eco tasks in a safe environment
m2kntkr3z7b9c-AIRL-47-3,This idea also builds on the eco theme with its combination of outdoor fun and environmental learning. Children will love being able to ride on it with easy to use controls and parents will feel happy that they're able to control the car's speed and ability to manoeuvre so that it will remain age appropriate as the child gets older
m2knu3ylg2r71-AIRH-48-1,"Introducing the velocity pro remote control race car, a cutting edge toy for enthusiasts and tech users.this cutting edge controler with built inled display that shows real time , speed and distance data, and computing the distance and speed into the controler gives the user access to the car."
